,okato,okato_name,marker
0,643,Российская Федерация,российская
1,30,Центральный федеральный округ,центральный
2,14000000,Белгородская область,белгородская
3,15000000,Брянская область,брянская
4,17000000,Владимирская область,владимирская
5,20000000,Воронежская область,воронежская
6,24000000,Ивановская область,ивановская
7,29000000,Калужская область,калужская
8,34000000,Костромская область,костромская
9,38000000,Курская область,курская
10,42000000,Липецкая область,липецкая
11,46000000,Московская область,московская
12,54000000,Орловская область,орловская
13,61000000,Рязанская область,рязанская
14,66000000,Смоленская область,смоленская
15,68000000,Тамбовская область,тамбовская
16,28000000,Тверская область,тверская
17,70000000,Тульская область,тульская
18,78000000,Ярославская область,ярославская
19,45000000,г. Москва,москва
20,31,Северо-Западный федеральный округ,северо-западный
21,86000000,Республика Карелия,карелия
22,87000000,Республика Коми,коми
23,11000000,Архангельская область,архангельская
24,11100000,Ненецкий авт. округ,ненецкий
25,11001000,Архангельская область (кроме Ненецкого автономного округа),архангельская
26,19000000,Вологодская область,вологодская
27,27000000,Калининградская область,калининградская
28,41000000,Ленинградская область,ленинградская
29,47000000,Мурманская область,мурманская
30,49000000,Новгородская область,новгородская
31,58000000,Псковская область,псковская
32,40000000,г. Санкт-Петербург,санкт-петербург
33,37,Южный федеральный округ,южный
34,79000000,Республика Адыгея,адыгея
35,85000000,Республика Калмыкия,калмыкия
36,35000000,Республика Крым,крым
37,3000000,Краснодарский край,краснодарский
38,12000000,Астраханская область,астраханская
39,18000000,Волгоградская область,волгоградская
40,60000000,Ростовская область,ростовская
41,67000000,г. Севастополь,севастополь
42,38,Северо-Кавказский федеральный округ,северо-кавказский
43,82000000,Республика Дагестан,дагестан
44,26000000,Республика Ингушетия,ингушетия
45,83000000,Кабардино-Балкарская Республика,кабардино-балкарская
46,91000000,Карачаево-Черкесская Республика,карачаево-черкесская
47,90000000,Республика Северная Осетия - Алания,осетия
48,96000000,Чеченская Республика,чеченская
49,7000000,Ставропольский край,ставропольский
50,33,Приволжский федеральный округ,приволжский
51,80000000,Республика Башкортостан,башкортостан
52,88000000,Республика Марий Эл,марий
53,89000000,Республика Мордовия,мордовия
54,92000000,Республика Татарстан,татарстан
55,94000000,Удмуртская Республика,удмуртская
56,97000000,Чувашская Республика,чувашская
57,57000000,Пермский край,пермский
58,33000000,Кировская область,кировская
59,22000000,Нижегородская область,нижегородская
60,53000000,Оренбургская область,оренбургская
61,56000000,Пензенская область,пензенская
62,36000000,Самарская область,самарская
63,63000000,Саратовская область,саратовская
64,73000000,Ульяновская область,ульяновская
65,34,Уральский федеральный округ,уральский
66,37000000,Курганская область,курганская
67,65000000,Свердловская область,свердловская
68,71000000,Тюменская область,тюменская
69,71100000,Ханты-Мансийский авт. округ - Югра,ханты-мансийский
70,71140000,Ямало-Hенецкий авт. округ,ямало-ненецкий
71,71001000,Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа),тюменская
72,75000000,Челябинская область,челябинская
73,35,Сибирский федеральный округ,сибирский
74,84000000,Республика Алтай,алтай
75,93000000,Республика Тыва,тыва
76,95000000,Республика Хакасия,хакасия
77,1000000,Алтайский край,алтайский
78,4000000,Красноярский край,красноярский
79,25000000,Иркутская область,иркутская
80,32000000,Кемеровская область - Кузбасс,кемеровская
81,50000000,Новосибирская область,новосибирская
82,52000000,Омская область,омская
83,69000000,Томская область,томская
84,36,Дальневосточный федеральный округ,дальневосточный
85,81000000,Республика Бурятия,бурятия
86,98000000,Республика Саха (Якутия),якутия
87,76000000,Забайкальский край,забайкальский
88,30000000,Камчатский край,камчатский
89,5000000,Приморский край,приморский
90,8000000,Хабаровский край,хабаровский
91,10000000,Амурская область,амурская
92,44000000,Магаданская область,магаданская
93,64000000,Сахалинская область,сахалинская
94,99000000,Еврейская авт. область,еврейская
95,77000000,Чукотский авт. округ,чукотский
96,39,Крымский федеральный округ,крымский
